speed_kmh,engine_rpm,throttle_pos,coolant_temp,fuel_level,intake_air_temp,label
0,0.0,89.0,31.0,99.98,22.0,SLOW
0,0.0,89.0,31.0,99.96,22.0,SLOW
0,0.0,89.0,31.0,99.94,22.0,SLOW
0,0.0,89.0,31.0,99.93,22.0,SLOW
0,0.0,89.0,31.0,99.91,22.0,SLOW
0,0.0,89.0,31.0,99.89,22.0,SLOW
0,0.0,89.0,31.0,99.87,22.0,SLOW
0,0.0,89.0,31.0,99.85,22.0,SLOW
0,0.0,89.0,31.0,99.84,22.0,SLOW
0,0.0,89.0,31.0,99.82,22.0,SLOW
0,0.0,89.0,31.0,99.8,22.0,SLOW
0,0.0,89.0,31.0,99.79,22.0,SLOW
0,0.0,89.0,31.0,99.77,22.0,SLOW
0,0.0,89.0,31.0,99.75,22.0,SLOW
0,0.0,89.0,31.0,99.73,22.0,SLOW
0,0.0,89.0,31.0,99.71,22.0,SLOW
0,0.0,89.0,31.0,99.7,22.0,SLOW
0,0.0,89.0,31.0,99.68,22.0,SLOW
0,0.0,89.0,31.0,99.66,22.0,SLOW
0,0.0,89.0,31.0,99.64,22.0,SLOW
0,0.0,89.0,31.0,99.62,22.0,SLOW
0,0.0,89.0,31.0,99.6,22.0,SLOW
0,0.0,89.0,31.0,99.59,22.0,SLOW
0,0.0,89.0,31.0,99.57,22.0,SLOW
0,0.0,89.0,31.0,99.55,22.0,SLOW
0,0.0,89.0,31.0,99.54,22.0,SLOW
0,0.0,89.0,31.0,99.52,22.0,SLOW
0,0.0,89.0,31.0,99.5,22.0,SLOW
0,0.0,89.0,31.0,99.49,22.0,SLOW
0,0.0,89.0,31.0,99.47,22.0,SLOW
0,0.0,89.0,31.0,99.45,22.0,SLOW
0,0.0,89.0,31.0,99.43,22.0,SLOW
0,0.0,89.0,31.0,99.41,22.0,SLOW
0,0.0,89.0,31.0,99.4,22.0,SLOW
0,0.0,89.0,31.0,99.38,22.0,SLOW
0,0.0,89.0,31.0,99.36,22.0,SLOW
0,0.0,89.0,31.0,99.35,22.0,SLOW
0,0.0,89.0,31.0,99.33,22.0,SLOW
0,0.0,89.0,31.0,99.31,22.0,SLOW
0,0.0,89.0,31.0,99.29,22.0,SLOW
0,0.0,89.0,31.0,99.27,22.0,SLOW
0,0.0,89.0,31.0,99.25,22.0,SLOW
0,0.0,89.0,31.0,99.24,22.0,SLOW
0,0.0,89.0,31.0,99.22,22.0,SLOW
0,0.0,89.0,31.0,99.2,22.0,SLOW
0,0.0,89.0,31.0,99.18,22.0,SLOW
0,0.0,89.0,31.0,99.17,22.0,SLOW
0,0.0,89.0,31.0,99.15,22.0,SLOW
0,0.0,89.0,31.0,99.13,22.0,SLOW
0,0.0,89.0,31.0,99.11,22.0,SLOW
0,0.0,89.0,31.0,99.1,22.0,SLOW
0,0.0,89.0,31.0,99.08,22.0,SLOW
0,0.0,89.0,31.0,99.06,22.0,SLOW
0,0.0,89.0,31.0,99.04,22.0,SLOW
0,0.0,89.0,31.0,99.03,22.0,SLOW
0,0.0,89.0,31.0,99.01,22.0,SLOW
0,0.0,89.0,31.0,98.99,22.0,SLOW
0,0.0,89.0,31.0,98.97,22.0,SLOW
0,0.0,89.0,31.0,98.96,22.0,SLOW
0,0.0,89.0,31.0,98.94,22.0,SLOW
0,0.0,89.0,31.0,98.92,22.0,SLOW
0,0.0,89.0,31.0,98.9,22.0,SLOW
0,0.0,89.0,31.0,98.88,22.0,SLOW
0,0.0,89.0,31.0,98.87,22.0,SLOW
0,0.0,89.0,31.0,98.85,22.0,SLOW
0,0.0,89.0,31.0,98.83,22.0,SLOW
0,0.0,89.0,31.0,98.81,22.0,SLOW
0,0.0,89.0,31.0,98.79,22.0,SLOW
0,0.0,89.0,31.0,98.77,22.0,SLOW
0,0.0,89.0,31.0,98.76,22.0,SLOW
